Site,Temp,mmHg,DO,SpCond,pH,Turbidity
Carley_COI_COWB18_1_G,4.3,737.7,83.5,578,7.99,2.19
Carley_COI_COWB18_2_G,4.3,737.7,83.5,578,7.99,2.19
Carley_COI_COWB18_3_G,4.3,737.7,83.5,578,7.99,2.19
Carley_COI_COWC12_1_F,9.2,733.1,88.4,3978,8.54,13.6
Carley_COI_COWC12_2_F,9.2,733.1,88.4,3978,8.54,13.6
Carley_COI_COWC12_3_F,9.2,733.1,88.4,3978,8.54,13.6
Carley_COI_COWC15_1_G,5.6,731.6,81.9,383.6,8.29,27.63
Carley_COI_COWC15_2_G,5.6,731.6,81.9,383.6,8.29,27.63
Carley_COI_COWC15_3_G,5.6,731.6,81.9,383.6,8.29,27.63
Carley_COI_COWL07_1_F,5.6,734.6,88.3,606,8.36,8.95
Carley_COI_COWL07_2_F,5.6,734.6,88.3,606,8.36,8.95
Carley_COI_COWL07_3_F,5.6,734.6,88.3,606,8.36,8.95
